next_meeting,word_count,next_rate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,unscheduled,forecast,confcall,Rate,RateDiff,RateDecision,ChairPerson,RateChanged,GDP_date,GDP_value,GDP_diff_prev,GDP_diff_year,GDPPOT_date,GDPPOT_value,GDPPOT_diff_prev,GDPPOT_diff_year,PCE_date,PCE_value,PCE_diff_prev,PCE_diff_year,CPI_date,CPI_value,CPI_diff_prev,CPI_diff_year,Unemp_date,Unemp_value,Unemp_diff_prev,Unemp_diff_year,Employ_date,Employ_value,Employ_diff_prev,Employ_diff_year,PMI_date,PMI_value,PMI_diff_prev,PMI_diff_year,NMI_date,NMI_value,NMI_diff_prev,NMI_diff_year,Rsales_date,Rsales_value,Rsales_diff_prev,Rsales_diff_year,Hsales_date,Hsales_value,Hsales_diff_prev,Hsales_diff_year,Taylor,Balanced,Inertia,Taylor-Rate,Balanced-Rate,Inertia-Rate,Taylor_diff,Balanced_diff,Inertia_diff,next_decision
1994-07-06,2240.5,4.25,0.0,0.0,0.0,0.0,0.0,0.4663294553756714,0.4996170699596405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,4.25,0.0,2,,0,1994-01-01,10195.338,0.9703128401259713,3.4305230144305936,1994-01-01,10361.54122,0.6700128890234396,2.684451957238433,1994-05-01,72.69,0.22336201191262947,2.137166462926275,1994-05-01,147.5,0.20380434782609472,2.2884882108183158,1994-06-01,-6.1,0.0,0.9000000000000004,1994-06-01,114238.0,317.0,3489.0,1994-06-01,58.8,0.5999999999999943,9.199999999999996,,,,,1994-06-01,130581.0,0.87915144117488,5.765290005912703,1994-06-01,621.0,-10.130246020260492,-4.900459418070445,3.3972279347640777,2.588706175138742,3.2241940737291888,-0.8527720652359223,-1.661293824861258,-1.0258059262708112,-0.3935037309460556,-0.3935037309460556,0.4840255596419083,3.0
1994-07-20,5982.0,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.999392032623291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,4.25,0.0,2,,0,1994-01-01,10195.338,0.9703128401259713,3.4305230144305936,1994-01-01,10361.54122,0.6700128890234396,2.684451957238433,1994-05-01,72.69,0.22336201191262947,2.137166462926275,1994-06-01,147.9,0.27118644067796993,2.494802494802491,1994-06-01,-6.1,0.0,0.9000000000000004,1994-06-01,114238.0,317.0,3489.0,1994-06-01,58.8,0.5999999999999943,9.199999999999996,,,,,1994-06-01,130581.0,0.87915144117488,5.765290005912703,1994-06-01,621.0,-10.130246020260492,-4.900459418070445,3.3972279347640777,2.588706175138742,3.2241940737291888,-0.8527720652359223,-1.661293824861258,-1.0258059262708112,0.0,0.0,0.0,2.0
1994-09-27,2204.0,4.75,0.006252754013985395,0.006251874845474958,0.0062514403834939,0.006251845043152571,0.006251438055187464,0.4562353193759918,0.501422650180757,0.00625241082161665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,4.75,0.0,2,,0,1994-04-01,10333.495,1.3550997524554955,4.22539970235709,1994-04-01,10431.00926,0.6704411875128512,2.697236303648949,1994-07-01,73.004,0.21001770737533568,2.267983469916649,1994-08-01,149.0,0.40431266846360797,2.9005524861878373,1994-08-01,-6.0,0.09999999999999964,0.7999999999999998,1994-08-01,114896.0,286.0,3690.0,1994-08-01,58.0,-0.5,7.299999999999997,,,,,1994-08-01,131653.0,0.8410248554249168,5.492876488405263,1994-08-01,656.0,4.45859872611465,1.7054263565891472,3.932351776076602,3.4627283472782304,3.518090747908265,-0.8176482239233982,-1.2872716527217696,-1.231909252091735,0.003460388136470982,0.003460388136470982,0.424480941779529,2.0
1994-11-15,4616.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9938433766365051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,5.5,0.75,3,,1,1994-07-01,10393.898,0.5845360161300549,4.336784859634324,1994-07-01,10501.77429,0.6784101924955884,2.713829288252979,1994-09-01,73.197,0.15187587226008292,2.1947643979057627,1994-10-01,149.4,0.06697923643670081,2.609890109890118,1994-10-01,-5.8,0.10000000000000053,1.0,1994-10-01,115458.0,211.0,3725.0,1994-10-01,59.4,0.3999999999999986,6.0,,,,,1994-10-01,133582.0,0.8462868315957149,6.3491684380647575,1994-10-01,715.0,5.612998522895126,1.5625,3.775880611672407,3.2596146264861696,3.548557806027074,-0.9741193883275931,-1.4903853735138304,-1.2014421939729258,-0.15647116440419495,-0.2031137207920608,0.03046705811880912,2.0
1994-12-20,2493.5,5.5,0.0,0.0,0.0,0.0,0.05217582732439041,0.3349134624004364,0.5995108783245087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,5.5,0.0,2,,0,1994-07-01,10393.898,0.5845360161300549,4.336784859634324,1994-07-01,10501.77429,0.6784101924955884,2.713829288252979,1994-10-01,73.369,0.23498230801808412,2.2649977698483497,1994-11-01,149.8,0.2677376171352113,2.602739726027405,1994-11-01,-5.6,0.20000000000000018,1.0,1994-11-01,115869.0,411.0,3885.0,1994-11-01,59.2,-0.19999999999999574,5.400000000000006,,,,,1994-11-01,133332.0,-0.18715096345315987,5.368305423624338,1994-11-01,646.0,-9.65034965034965,-15.99479843953186,3.8812306695862873,3.36496468440005,4.170255297339993,-1.6187693304137127,-2.13503531559995,-1.3297447026600073,0.10535005791388041,0.10535005791388041,0.6216974913129185,3.0
1994-12-30,5214.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.999342143535614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,5.5,0.0,2,,0,1994-07-01,10393.898,0.5845360161300549,4.336784859634324,1994-07-01,10501.77429,0.6784101924955884,2.713829288252979,1994-10-01,73.369,0.23498230801808412,2.2649977698483497,1994-11-01,149.8,0.2677376171352113,2.602739726027405,1994-11-01,-5.6,0.20000000000000018,1.0,1994-11-01,115869.0,411.0,3885.0,1994-11-01,59.2,-0.19999999999999574,5.400000000000006,,,,,1994-11-01,133332.0,-0.18715096345315987,5.368305423624338,1994-11-01,646.0,-9.65034965034965,-15.99479843953186,3.8812306695862873,3.36496468440005,4.170255297339993,-1.6187693304137127,-2.13503531559995,-1.3297447026600073,0.0,0.0,0.0,2.0
1995-03-10,3590.5,6.0,0.015123807359486818,0.027907494455575943,0.015456801746040583,0.012507866136729717,0.006251231301575899,0.45623719692230225,0.46015883376821876,0.006251975893974304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,6.0,0.0,2,,0,1994-10-01,10512.962,1.1455182646587478,4.1159265162524665,1994-10-01,10573.43167,0.6823359369686145,2.7286848452173325,1995-01-01,73.711,0.248884778587739,2.350801188591738,1995-01-01,150.5,0.2664890073284515,2.8708133971291785,1995-02-01,-5.4,0.1999999999999993,1.1999999999999993,1995-02-01,116697.0,196.0,3916.0,1995-02-01,55.1,-2.299999999999997,-1.3999999999999986,,,,,1995-02-01,131477.0,-1.8359514992235098,2.553762392455715,1995-02-01,559.0,-10.702875399361023,-18.513119533527696,4.239429958791408,3.952658134695209,4.507101279795719,-1.7605700412085916,-2.047341865304791,-1.4928987202042814,0.24166724835306752,0.24166724835306752,0.3887499127470404,2.0
1995-04-28,6099.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994457364082336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,6.0,0.0,2,,0,1994-10-01,10512.962,1.1455182646587478,4.1159265162524665,1994-10-01,10573.43167,0.6823359369686145,2.7286848452173325,1995-02-01,73.831,0.16279795417238208,2.297257977359956,1995-03-01,151.2,0.1988071570576428,2.787219578518011,1995-03-01,-5.4,0.0,1.0999999999999996,1995-03-01,116907.0,210.0,3665.0,1995-03-01,52.1,-3.0,-4.799999999999997,,,,,1995-03-01,132438.0,0.730926321714064,1.6899959304959422,1995-03-01,616.0,10.196779964221825,-17.53681392235609,4.159115141943736,3.8723433178475366,4.519148502322869,-1.8408848580562642,-2.1276566821524634,-1.480851497677131,-0.08031481684767261,-0.08031481684767261,0.012047222527150403,2.0
1995-07-06,4575.0,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.9992595314979553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,5.75,-0.25,1,,1,1995-01-01,10550.251,0.3546954702204828,3.4811302970043805,1995-01-01,10645.57719,0.6823283324816722,2.741252135847806,1995-05-01,74.311,0.1711959452173104,2.230017884165648,1995-05-01,152.1,0.19762845849801247,3.1186440677966063,1995-06-01,-5.6,0.0,0.5,1995-06-01,117286.0,237.0,3048.0,1995-06-01,45.9,-0.8000000000000043,-12.899999999999999,,,,,1995-06-01,134843.0,1.0392938496583144,3.26387452998522,1995-06-01,725.0,7.566765578635016,16.74718196457327,3.8952834528699185,3.4455400794913658,4.583168988076295,-2.1047165471300815,-2.5544599205086342,-1.4168310119237049,0.045523926497013534,0.045523926497013534,-0.006828588974551408,2.0
1995-08-22,3154.0,5.75,0.06000383198261261,0.0,0.0,0.0,0.0,0.09934738278388977,0.8219330012798309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,5.75,0.0,2,,0,1995-04-01,10581.723,0.29830569907767834,2.4021688692934884,1995-04-01,10718.72498,0.6871190607561684,2.7582730762526437,1995-06-01,74.375,0.08612453068858304,2.091941085228756,1995-07-01,152.6,0.13123359580051747,2.8301886792452753,1995-07-01,-5.7,-0.10000000000000053,0.39999999999999947,1995-07-01,117380.0,94.0,2770.0,1995-07-01,50.7,4.800000000000004,-7.799999999999997,,,,,1995-07-01,134286.0,-0.4130729811706948,2.857799394891042,1995-07-01,765.0,5.517241379310345,21.81528662420382,3.494714501696623,2.851517375550112,4.459772393667484,-2.255285498303377,-2.898482624449888,-1.2902276063325164,-0.4005689511732955,-0.5940227039412536,-0.12339659440881157,1.0
1995-09-26,3957.0,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.9991457462310791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,5.75,0.0,2,,0,1995-04-01,10581.723,0.29830569907767834,2.4021688692934884,1995-04-01,10718.72498,0.6871190607561684,2.7582730762526437,1995-07-01,74.493,0.15865546218486723,2.039614267711345,1995-08-01,152.9,0.19659239842726825,2.617449664429534,1995-08-01,-5.7,0.0,0.2999999999999998,1995-08-01,117634.0,254.0,2738.0,1995-08-01,47.1,-3.6000000000000014,-10.899999999999999,,,,,1995-08-01,135069.0,0.583083865779009,2.5946997030071475,1995-08-01,701.0,-8.366013071895424,6.859756097560976,3.4162242754205066,2.7730271492739957,4.471545927608901,-2.3337757245794934,-2.9769728507260043,-1.2784540723910993,-0.07849022627611646,-0.07849022627611646,0.011773533941417114,2.0
1995-11-15,4400.0,5.75,0.0,0.013941396027803421,0.0,0.0,0.0,0.0,0.9853692054748535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,5.75,0.0,2,,0,1995-07-01,10671.738,0.8506648680937822,2.6731068555800737,1995-07-01,10792.53606,0.6886180971871478,2.7686918607350965,1995-09-01,74.77,0.13258159124692254,2.148995177397971,1995-10-01,153.5,0.26126714565643744,2.7443105756358728,1995-10-01,-5.5,0.09999999999999964,0.2999999999999998,1995-10-01,118031.0,156.0,2573.0,1995-10-01,46.7,-1.3999999999999986,-12.699999999999996,,,,,1995-10-01,134317.0,-0.6604541084239332,0.55022383255229,1995-10-01,696.0,2.6548672566371683,-2.6573426573426575,3.660700215893673,3.0979076656903892,4.422813850146442,-2.089299784106327,-2.6520923343096108,-1.3271861498535582,0.24447594047316645,0.3248805164163935,-0.04873207746245889,2.0
1995-12-19,4485.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9992361068725586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,5.5,-0.25,1,,1,1995-07-01,10671.738,0.8506648680937822,2.6731068555800737,1995-07-01,10792.53606,0.6886180971871478,2.7686918607350965,1995-10-01,74.952,0.24341313360973943,2.1575869917812676,1995-11-01,153.7,0.1302931596091131,2.6034712950600647,1995-11-01,-5.6,-0.09999999999999964,0.0,1995-11-01,118175.0,144.0,2306.0,1995-11-01,45.9,-0.8000000000000043,-13.300000000000004,,,,,1995-11-01,135761.0,1.075068680807344,1.8217682176821768,1995-11-01,664.0,-4.597701149425287,2.786377708978328,3.673587937468617,3.110795387265333,4.420880691910201,-2.076412062531383,-2.639204612734667,-1.3291193080897994,0.012887721574943889,0.012887721574943889,-0.0019331582362411837,2.0
1996-01-31,2209.0,5.25,0.0,0.0,0.0,0.0,0.0,0.15084823966026306,0.8299896717071533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,5.25,-0.25,1,,1,1995-10-01,10744.203,0.6790365355671227,2.199579909068443,1995-10-01,10868.04148,0.6996077620703313,2.786321595437141,1995-11-01,75.0,0.06404098623119038,2.036651565242235,1995-12-01,153.9,0.13012361743657586,2.531645569620261,1995-12-01,-5.6,0.0,-0.09999999999999964,1995-12-01,118320.0,145.0,2155.0,1995-12-01,46.2,0.30000000000000426,-9.899999999999999,,,,,1995-12-01,136712.0,0.7004957241033876,2.2436280962067725,1995-12-01,709.0,6.77710843373494,12.71860095389507,3.4921847976600677,2.929392247456784,4.235591162881482,-2.0078152023399323,-2.570607752543216,-1.264408837118518,-0.18140313980854916,-0.18140313980854916,-0.18528952902871865,1.0
1996-03-26,3749.0,5.25,0.0,0.0,0.0,0.0,0.0,0.30864036083221436,0.6844998151063919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,5.25,0.0,2,,0,1995-10-01,10744.203,0.6790365355671227,2.199579909068443,1995-10-01,10868.04148,0.6996077620703313,2.786321595437141,1996-01-01,75.19,0.11317488848943977,2.006484785174532,1996-02-01,155.0,0.1939237233354954,2.7170311464546018,1996-02-01,-5.5,0.09999999999999964,-0.09999999999999964,1996-02-01,118739.0,423.0,2042.0,1996-02-01,45.9,0.3999999999999986,-9.200000000000003,,,,,1996-02-01,136779.0,1.3883741271700296,4.03264449295314,1996-02-01,769.0,7.703081232492997,37.567084078711986,3.4367194298910295,2.863711682020261,4.03294324769696,-1.8132805701089705,-2.386288317979739,-1.2170567523030398,-0.05546536776903821,-0.0656805654365229,-0.20264791518452174,1.0
1996-05-21,3496.0,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.9989551901817322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,5.25,0.0,2,,0,1996-01-01,10824.674,0.7489713290041279,2.601103992691744,1996-01-01,10944.88102,0.7070228811824598,2.8115321946202596,1996-03-01,75.462,0.23111252789290007,1.9577641765635738,1996-04-01,156.1,0.3858520900321507,2.832674571804995,1996-04-01,-5.6,-0.09999999999999964,0.20000000000000018,1996-04-01,119158.0,165.0,2089.0,1996-04-01,49.3,2.3999999999999986,-2.200000000000003,,,,,1996-04-01,137525.0,-0.01817520901490367,3.8457472514195965,1996-04-01,736.0,2.0804438280166435,18.51851851851852,3.3844611530010438,2.832276041156727,4.037658593826491,-1.8655388469989562,-2.417723958843273,-1.2123414061735094,-0.052258276889985744,-0.0314356408635339,0.0047153461295303956,2.0
1996-07-03,3343.0,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.9989554286003113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,5.25,0.0,2,,0,1996-01-01,10824.674,0.7489713290041279,2.601103992691744,1996-01-01,10944.88102,0.7070228811824598,2.8115321946202596,1996-05-01,75.696,0.1733606828558198,1.8637886719328103,1996-05-01,156.4,0.19218449711723984,2.827087442472066,1996-05-01,-5.6,0.0,0.0,1996-05-01,119486.0,328.0,2437.0,1996-05-01,49.1,-0.19999999999999574,2.3999999999999986,,,,,1996-05-01,138299.0,0.5628067624068351,3.62891140151061,1996-05-01,746.0,1.358695652173913,10.682492581602373,3.243497896054899,2.691312784210582,4.058803082368412,-2.006502103945101,-2.558687215789418,-1.1911969176315882,-0.14096325694614498,-0.14096325694614498,0.02114448854192119,2.0
